epoch		 total_loss		 accuracy
60		 0.000000		 0.585159
61		 0.000000		 0.592171
62		 0.000000		 0.588081
63		 0.000000		 0.569968
64		 0.000000		 0.595968
65		 0.000000		 0.602980
66		 0.000000		 0.581069
67		 0.000000		 0.607070
68		 0.000000		 0.601227
69		 0.000000		 0.609699
70		 0.000000		 0.608823
71		 0.000000		 0.616710
72		 0.000000		 0.614958
73		 0.000000		 0.617003
74		 0.000000		 0.607946
75		 0.000000		 0.631025
76		 0.000000		 0.618171
77		 0.000000		 0.626643
78		 0.000000		 0.637453
79		 0.000000		 0.613789
80		 0.000000		 0.629565
81		 0.000000		 0.634823
82		 0.000000		 0.640374
83		 0.000000		 0.633947
84		 0.000000		 0.631025
85		 0.000000		 0.637453
86		 0.000000		 0.619924
87		 0.000000		 0.647093
88		 0.000000		 0.645925
89		 0.000000		 0.640374
90		 0.000000		 0.649138
91		 0.000000		 0.641543
92		 0.000000		 0.650015
93		 0.000000		 0.645925
94		 0.000000		 0.656150
95		 0.000000		 0.653812
96		 0.000000		 0.649430
97		 0.000000		 0.651475
98		 0.000000		 0.660532
99		 0.000000		 0.658195
